Name,Original Price,Discount %,Product URL,Image URL
Air Max Ishod Colourblock Lace-Up Shoes,9695,N/A,https://www.ajio.com/nike-air-max-ishod-colourblock-lace-up-shoes/p/469759319_white?,https://assets.ajio.com/medias/sys_master/root/20250620/TsGQ/68555b1d7a6cd4182fc869a4/nike_white_air_max_ishod_colourblock_lace-up_shoes.jpg
Men Promina Low-Top Training Shoes,3147,37%,https://www.ajio.com/nike-men-promina-low-top-training-shoes/p/469755781_smokeyblue?,https://assets.ajio.com/medias/sys_master/root/20250602/A2vG/683d8d3655340d4b4f7b7eb6/nike_smokey_blue_men_promina_low-top_training_shoes.jpg
Court Vision LO Low-Top Sneakers,5695,N/A,https://www.ajio.com/nike-court-vision-lo-low-top-sneakers/p/469615819_white?,https://assets.ajio.com/medias/sys_master/root/20240508/62KG/663b821f16fd2c6e6af3a5bd/nike_white_court_vision_lo_low-top_sneakers.jpg
Men Low-Top Lace-Up Sneakers,1350,82%,https://www.ajio.com/red-tape-men-low-top-lace-up-sneakers/p/700710447_white?,https://assets.ajio.com/medias/sys_master/root/20241106/QzVb/672b9d5c260f9c41e8c3d5d8/red_tape_white_%26_beige_men_low-top_lace-up_sneakers.jpg
Drop Step Low-Top 2.0 IKD Lace-Up Shoes,5199,35%,https://www.ajio.com/adidas-drop-step-low-top-2-0-ikd-lace-up-shoes/p/469756657_multicolor?,https://assets.ajio.com/medias/sys_master/root/20250619/hc9m/685404c155340d4b4fc5196a/adidas_green_drop_step_low-top_2.0_ikd_lace-up_shoes.jpg
Mens Majesty Sneakers,7999,N/A,https://www.ajio.com/puma-mens-majesty-sneakers/p/701938667_orange?,https://assets.ajio.com/medias/sys_master/root1/20250718/mTwm/687957b05d4cb413802dc17d/puma_warm_white-orange_poppy_mens_majesty_sneakers.jpg
Men Court Vision Lace-Up Sneakers,5695,N/A,https://www.ajio.com/nike-men-court-vision-lace-up-sneakers/p/469551574_white?,https://assets.ajio.com/medias/sys_master/root/20231030/vsJV/653fd0c6ddf77915196353f8/nike_white_men_court_vision_lace-up_sneakers.jpg
Revolution 8 Running Shoes,4295,N/A,https://www.ajio.com/nike-revolution-8-running-shoes/p/469763462_green?,https://assets.ajio.com/medias/sys_master/root/20250714/suFl/6874e48de590ff066e50256f/nike_green_revolution_8_running_shoes.jpg
Men BMW MMS Inverse M4 Hero Lightweight Shoes,11999,N/A,https://www.ajio.com/puma-men-bmw-mms-inverse-m4-hero-lightweight-shoes/p/701814470_white?,https://assets.ajio.com/medias/sys_master/root/20250625/01ty/685b298f2b1ad9265b672a60/puma_white-black_men_bmw_mms_inverse_m4_hero_lightweight_shoes.jpg
Women Sports Shoes with Lace Fastening,1615,81%,https://www.ajio.com/red-tape-women-sports-shoes-with-lace-fastening-/p/467239868_white?,https://assets.ajio.com/medias/sys_master/root/20241014/U6LZ/670ceab6260f9c41e875fbe8/red_tape_white_women_sports_shoes_with_lace_fastening.jpg
Smphny Low-Top Lace-Up Sneakers,2400,52%,https://www.ajio.com/adidas-smphny-low-top-lace-up-sneakers/p/469697468_blue?,https://assets.ajio.com/medias/sys_master/root/20250714/h2bI/6874df2ee590ff066e4fe896/adidas_blue_smphny_low-top_lace-up_sneakers.jpg
